ball_key,ball_name_ko,ball_name_en,color_tags,rarity_tier,official_name,sort_order
poke-ball,몬스터볼,Poké Ball,"red,standard",common,Poké Ball,10
great-ball,슈퍼볼,Great Ball,"blue,standard",common,Great Ball,20
ultra-ball,하이퍼볼,Ultra Ball,"black,yellow",common,Ultra Ball,30
master-ball,마스터볼,Master Ball,"purple,master",special,Master Ball,40
premier-ball,프리미어볼,Premier Ball,"white,clean",common,Premier Ball,50
heal-ball,힐볼,Heal Ball,"pink,soft",common,Heal Ball,60
net-ball,네트볼,Net Ball,"teal,water",common,Net Ball,70
nest-ball,네스트볼,Nest Ball,"green,earth",common,Nest Ball,80
dive-ball,다이브볼,Dive Ball,"blue,water",common,Dive Ball,90
dusk-ball,다크볼,Dusk Ball,"green,dark",common,Dusk Ball,100
timer-ball,타이마볼,Timer Ball,"red,clock",common,Timer Ball,110
quick-ball,퀵볼,Quick Ball,"blue,yellow",common,Quick Ball,120
repeat-ball,리피트볼,Repeat Ball,"red,orange",common,Repeat Ball,130
luxury-ball,럭셔리볼,Luxury Ball,"black,gold",common,Luxury Ball,140
fast-ball,패스트볼,Fast Ball,"yellow,energetic",apricorn,Fast Ball,150
friend-ball,프렌드볼,Friend Ball,"green,natural",apricorn,Friend Ball,160
moon-ball,문볼,Moon Ball,"black,night",apricorn,Moon Ball,170
lure-ball,루어볼,Lure Ball,"blue,water",apricorn,Lure Ball,180
love-ball,러브러브볼,Love Ball,"pink,cute",apricorn,Love Ball,190
level-ball,레벨볼,Level Ball,"red,warm",apricorn,Level Ball,200
heavy-ball,헤비볼,Heavy Ball,"gray,heavy",apricorn,Heavy Ball,210
dream-ball,드림볼,Dream Ball,"pink,dreamy",special,Dream Ball,220
beast-ball,울트라볼,Beast Ball,"blue,ultra",special,Beast Ball,230
safari-ball,사파리볼,Safari Ball,"green,safari",special,Safari Ball,240
sport-ball,컴퍼티션볼,Sport Ball,"red,sport",special,Sport Ball,250
strange-ball,이상한볼,Strange Ball,"gray,strange",special,Strange Ball,260
cherish-ball,프레셔스볼,Cherish Ball,"red,event",special,Cherish Ball,270
